datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2021-03-20 00:00:00,1.1597,2.1788,0.486,0.3794,120,154.0198,29.0082,120,77.2835,77.3949,77.1813,0.059,120,26.7199,26.74,26.7034,0.0079,120,1006.8136,1007.0071,1006.6225,0.0496,120,0,0,0,0,120,0,0,0,0,120,13.9328,14.2604,13.7689,0.2326,120,120,0,0,0,0,0,120,3.4469,3.4501,3.4437,0.0008,0.5672,0.5674,0.567,0.0001,0.7728,0.7739,0.7718,0.0006,-0.0001,-0.0001,-0.0001,0,-0.0043,-0.004,-0.0045,0.0001,0,0,0,0,0,0,0,0,103.225,214,30,41.235,0,0,0,0,437.3583,661,172,83.2943,34.7,42.5667,51,39,23.93,23.93,23.88
2021-03-20 00:10:00,0.8871,1.7188,0.2376,0.3499,120,156.6344,35.5867,120,77.5236,77.6391,77.3339,0.0789,120,26.7068,26.7248,26.682,0.0086,120,1006.7754,1007.0071,1006.6042,0.1057,120,0,0,0,0,120,0,0,0,0,120,13.9778,14.2604,13.7689,0.244,120,120,0,0,0,0,0,120,3.4463,3.4501,3.4434,0.0018,0.5671,0.5673,0.5668,0.0001,0.7752,0.7764,0.7733,0.0008,-0.0001,-0.0001,-0.0001,0,-0.0043,-0.0041,-0.0045,0.0001,0,0,0,0,0,0,0,0,73.6,164,3,38.0282,0,0,0,0,445.4333,711,198,102.2102,34.4,40.7,45,39,23.9,23.93,23.88
2021-03-20 00:20:00,1.2554,2.6112,0.5596,0.4199,120,160.0504,29.4124,120,77.9046,78.1579,77.6391,0.147,120,26.6876,26.7278,26.6698,0.0151,120,1006.6277,1006.8056,1006.5859,0.0524,120,0,0,0,0,120,0,0,0,0,120,13.9819,14.2604,13.7689,0.2446,120,120,0,0,0,0,0,120,3.4438,3.4468,3.4431,0.0009,0.5669,0.5673,0.5667,0.0001,0.779,0.7816,0.7764,0.0015,-0.0001,-0.0001,-0.0001,0,-0.0043,-0.0041,-0.0045,0.0001,0,0,0,0,0,0,0,0,113.625,261,38,45.6415,0,0,0,0,454.225,652,212,84.5676,34,40.3667,45,39,23.88,23.93,23.88
2021-03-20 00:30:00,1.2319,2.2708,0.2468,0.4471,120,153.4849,36.1323,120,78.1892,78.28,78.1274,0.0387,120,26.7359,26.7553,26.7034,0.0122,120,1006.4917,1006.6225,1006.4028,0.0921,120,0,0,0,0,120,0,0,0,0,120,13.8345,14.2604,13.2775,0.1904,120,120,0,0,0,0,0,120,3.4415,3.4437,3.44,0.0015,0.5674,0.5675,0.567,0.0001,0.7819,0.7828,0.7813,0.0004,-0.0001,-0.0001,-0.0001,0,-0.0044,-0.0042,-0.0046,0.0001,0,0,0,0,0,0,0,0,111.075,224,4,48.5961,0,0,0,0,435.5583,716,140,104.3514,34,40.4333,45,39,23.88,23.88,23.88
2021-03-20 00:40:00,1.4709,3.43,0.4124,0.5474,120,161.5846,29.8111,120,78.4407,78.6767,78.2495,0.1098,120,26.643,26.7064,26.5813,0.0367,120,1006.4121,1006.6225,1006.2197,0.051,120,0,0,0,0,120,0,0,0,0,120,13.8304,14.2604,13.2775,0.197,120,120,0,0,0,0,0,120,3.4402,3.4437,3.437,0.0009,0.5664,0.5671,0.5658,0.0004,0.7844,0.7868,0.7825,0.0011,-0.0001,-0.0001,-0.0001,0,-0.0042,-0.0041,-0.0044,0.0001,0,0,0,0,0,0,0,0,137.05,350,22,59.5008,0,0,0,0,462.9417,935,291,90.8868,34,40.4833,45,39,23.88,23.88,23.83
2021-03-20 00:50:00,1.8287,3.752,0.6148,0.6224,120,147.2278,29.7926,120,78.8321,79.0124,78.6767,0.0951,120,26.5852,26.6027,26.5691,0.0079,120,1006.2856,1006.4394,1006.0366,0.1102,120,0,0,0,0,120,0,0,0,0,120,13.9287,14.2604,13.7689,0.2312,120,120,0,0,0,0,0,120,3.4381,3.4407,3.4339,0.0018,0.5658,0.566,0.5657,0.0001,0.7883,0.7901,0.7868,0.001,-0.0001,-0.0001,-0.0001,0,-0.0042,-0.0041,-0.0043,0.0001,0,0,0,0,0,0,0,0,175.9417,385,44,67.655,0,0,0,0,417.0417,674,160,86.1969,34,40.5,41,39,23.84,23.88,23.83
2021-03-20 01:00:00,2.1957,4.304,0.5872,0.7939,120,148.8136,33.0404,120,79.015,79.104,78.9209,0.0353,120,26.6352,26.6576,26.5996,0.0135,120,1006.1495,1006.4211,1006.0182,0.0965,120,0,0,0,0,120,0,0,0,0,120,13.8918,14.2604,13.7689,0.2137,120,120,0,0,0,0,0,120,3.4358,3.4404,3.4336,0.0016,0.5664,0.5666,0.566,0.0001,0.7901,0.791,0.7892,0.0004,-0.0001,-0.0001,-0.0001,0,-0.0041,-0.0038,-0.0043,0.0001,0,0,0,0,0,0,0,0,215.8333,445,41,86.2912,0,0,0,0,421.3167,760,131,97.5926,34,40.65,45,39,23.83,23.88,23.83
2021-03-20 01:10:00,2.1328,3.6232,0.8264,0.6541,120,143.1621,27.0016,120,78.9847,79.0735,78.8903,0.043,120,26.6118,26.6424,26.5844,0.0143,120,1006.0103,1006.2197,1005.8351,0.0664,120,0,0,0,0,120,0,0,0,0,120,13.859,14.2604,13.2775,0.2296,120,120,0,0,0,0,0,120,3.4335,3.437,3.4306,0.0011,0.5661,0.5664,0.5658,0.0001,0.7898,0.7907,0.7889,0.0004,-0.0001,-0.0001,-0.0001,0,-0.0041,-0.0038,-0.0043,0.0001,0,0,0,0,0,0,0,0,209,371,67,71.0976,0,0,0,0,404.725,572,145,77.7607,34,40.6833,47,39,23.83,23.83,23.83
2021-03-20 01:20:00,1.4206,3.7336,0.348,0.691,120,130.8006,35.3927,120,78.9303,79.0429,78.8293,0.0452,120,26.6152,26.624,26.6027,0.004,120,1005.9993,1006.0549,1005.8351,0.0728,120,0,0,0,0,120,0,0,0,0,120,13.8508,14.2604,13.2775,0.2048,120,120,0,0,0,0,0,120,3.4333,3.4342,3.4306,0.0012,0.5662,0.5662,0.566,0,0.7893,0.7904,0.7883,0.0005,-0.0001,-0.0001,-0.0001,0,-0.0042,-0.0039,-0.0044,0.0001,0,0,0,0,0,0,0,0,131.5833,383,15,75.1131,0,0,0,0,374,808,141,104.6822,34,40.8667,47,39,23.83,23.83,23.78
2021-03-20 01:30:00,1.2494,2.372,0.3296,0.3987,120,148.955,27.6769,120,78.9028,79.0124,78.8293,0.0504,120,26.6097,26.624,26.5966,0.0062,120,1005.9275,1006.2197,1005.8351,0.0963,120,0,0,0,0,120,0,0,0,0,120,13.8672,14.2604,13.2775,0.2262,120,120,0,0,0,0,0,120,3.4321,3.437,3.4306,0.0016,0.5661,0.5662,0.566,0.0001,0.789,0.7901,0.7883,0.0005,-0.0001,-0.0001,-0.0001,0,-0.0043,-0.0039,-0.0045,0.0001,0,0,0,0,0,0,0,0,112.9833,235,13,43.3357,0,0,0,0,421.0667,661,28,82.4435,34,40.9167,45,39,23.81,23.83,23.78
